538;Тобольск;Юрты Бегишевские
541;Уват;Тобольск
550;Абатское;Ишим
550р;Абатское;Ишим
551;Абатское;Маслянский
553;Уват;Тюмень
554;Вагай;Тюмень
555;Тобольск;Тюмень
555э;Тобольск;Тюмень
561;Тобольск;Ишим
562;Викулово;Ишим
562б;Викулово;Ишим
576;Казанское;Ишим
590;Викулово;Ишим
593;Бердюжье;Тюмень
595;Большое Сорокино;Тюмень
596;Викулово;Тюмень
601;Сладково;Тюмень
602;Бердюжье;Ишим
605;Усово;Ишим
609;Сладково;Ишим
614;Сладково;Ишим
622;Ярково;Ялуторовск
625;Ялуторовск;Тобольск
629;Упорово;Ялуторовск
630;Тюмень;Заводоуковск
632;Упорово;Тюмень
635;Лебедёвка;Тюмень
637;Ялуторовск;Исетское
640;Ялуторовск;Староалександровка
642;Упорово;Тюмень
642к;Упорово;Тюмень
701;Ишим;Казанское
702;Казанское;Ишим
703;Челюскинцев;Ишим
704;Долматово;Ишим
710;Казанское;Тюмень
717;Аромашево;Тюмень
718;Аромашево;Тюмень
751;Юргинское;Тюмень
752;Аромашево;Голышманово
753;Аромашево;Ишим
756;Аромашево;Комсомольский
757;Аромашево;Ишим
761;Исетское;Тюмень
762;Исетское;Тюмень
767;Исетское;Тюмень
767к;Исетское;Тюмень
771;Ярково;Липовка
794;Омутинское;Ишим
796;Армизонское;Бердюжье
797;Армизонское;Ишим
798;Юргинское;Тюмень
800;Большое Сорокино;Ишим
800к;Большое Сорокино;Ишим
801;Большое Сорокино;Ишим
811;Вагай;Фатеево
815;Вагай;Курья
