1;с.Бердюжье АС;04:10;06:20;09:10;13:54;15:20;17:21;20:24;23:08
2;с.Полозаозерье пов.;04:24;06:34;09:25;15:36
3;с.Истошино пов.;04:32;06:42;09:33;15:44
4;д.Босоногова пов.;04:34;06:44;09:35;15:47
5;д.Луговая пов.;04:40;06:50;09:41;15:53
6;д.Турлаки пов.;04:44;06:54;09:45;15:58
7;с.Чирки пов.;04:48;06:58;09:50;16:02
8;д.Мелкозерова пов.;04:51;07:01;09:53;16:05
9;с.Ражево пов.;04:56;07:06;09:58;16:10
10;д.Козловка пов.;05:00;07:10;10:02;16:15
11;д.Земляная пов.;05:04;07:14;10:06;16:19
12;д.Скаредная пов.;05:16;07:26;10:16;16:30
13;с.Медведево пов.;05:23;07:33;10:28;16:38
14;р.п.Голышманово АС;05:50;07:55;10:45;12:35;16:05;17:15;19:13;21:55
15;д.Боровлянка пов.;06:04;08:09;11:01;17:29
16;с.Усть-Ламенка пов.;06:18;08:23;11:18;17:42
17;с.Шабаново пов.;06:28;08:33;11:30;17:51
18;с.Новая Заимка пов.;07:18;09:23;12:23;18:41
19;г.Заводоуковск АВ;07:55;10:05;10:10;13:05;13:55;17:00;19:15;20:00
20;г.Ялуторовск пов.;08:14;10:24;13:24;19:33
21;р.п.Богандинский пов.;08:47;10:57;13:57;20:06
22;р.п.Боровский пов.;09:07;11:17;14:17;20:23
23;г.Тюмень АВ;08:25;09:28;11:37;12:20;14:33;15:15;18:05;20:36
