1;с.Аромашево АС;05:30;21:55
2;д.Юрминка;05:45
3;д.Вагина пов.;05:47
4;с.Бескозобово пов.;05:57
5;д.Успенка пов.;05:59
6;д.Терехина пов.;06:05
7;д.Новоселки пов.;06:09
8;с.Евсино пов.;06:17
9;д.Солодилова пов.;06:22
10;д.Оськина пов.;06:29
11;д.Никольск пов.;06:36
12;д.Робчуки пов.;06:50
13;с.Усть-Ламенка пов.;06:52
14;д.Слободская пов.;06:59
15;с.Шабаново пов.;07:03
16;с.Вагай пов.;07:44
17;с.Новая Заимка пов.;08:13
18;с.Падун пов.;08:28
19;г.Заводоуковск АВ;08:55;18:45
20;г.Ялуторовск пов.;09:10
21;р.п.Богандинский пов.;09:56
22;г.Тюмень АВ;10:35;16:50
