1;с.Уват АС;07:00;21:55
2;п.Нагорный пов.;07:05
3;п.Туртас АС;
4;п.Ингаир пов.;08:24
5;д.Панушкова пов.;08:43
6;д.Бабандина пов.;08:47
7;д.Шестакова пов.;08:50
8;с.Малая Зоркальцева пов;08:55
9;д.Медведчикова пов.;08:59
10;д.Винокурова пов.;09:06
11;д.Башкова пов.;09:13
12;г.Тобольск АВ;09:55;19:29
13;р.п.Сумкино пов.;10:15
14;с.Карачино пов.;10:27
15;д.Тоболтура пов.;10:39
16;с.Дегтярево пов.;10:42
17;с.Кутарбитка пов.;10:49
18;д.Алга пов.;11:09
19;с.Каскара пов.;13:08
20;г.Тюмень АВ;13:40;15:30
