1;с.Ярково АС;07:40;18:05
2;с.Новоселово;08:01
3;д.Плавнова;08:03
4;д.Варвара пов.;08:14
5;д.Бор пов.;08:26
6;с.Маранка пов.;08:33
7;с.Матмасы пов.;08:38
8;д.Карбаны;08:54;16:36
9;д.Тарханы;09:04;16:26
10;д.Юртобор пов.;09:09
11;д.Куртюганы пов.;09:15
12;с.Староалександровка;09:23;16:00
13;с.Чечкино;09:28;16:05
14;с.Ивановка пов.;09:47
15;с.Большое Тихвино пов.;09:51
16;д.Малая Тихвина пов.;09:54
17;с.Новоатьялово;10:02;15:27
18;д.Авазбакеева пов.;10:18
19;д.Красный Яр пов.;10:22
20;с.Аслана пов.;10:27
21;д.Осинова пов.;10:32
22;с.Бердюгино пов.;10:40
23;с.Хохлово пов.;10:53
24;г.Ялуторовск АВ;11:12;14:20
