1;Центральный рынок 2;06:25;06:47;07:09;07:37;07:55;08:07;08:17;08:31;08:48;09:08;09:28;10:10;10:28;10:46;11:04;11:42;12:27;13:12;13:38;14:00;14:23;14:46;15:10;15:35;15:50;16:05;16:20;16:35;16:54;17:10;17:27;17:44;18:03;18:22;18:44;19:07;19:27;19:47;20:16;20:45
2;ул. М. Тореза;06:29;06:51;07:14;07:42;08:00;08:12;08:22;08:36;08:53;09:13;09:33;10:15;10:33;10:51;11:09;11:47;12:32;13:17;13:43;14:05;14:28;14:51;15:15;15:40;15:55;16:10;16:25;16:40;16:59;17:15;17:32;17:49;18:08;18:27;18:49;19:12;19:32;19:52;20:21;20:50
3;Сквер Железнодорожников;06:31;06:53;07:17;07:45;08:03;08:14;08:24;08:38;08:55;09:15;09:35;10:17;10:35;10:53;11:11;11:49;12:34;13:19;13:45;14:07;14:30;14:53;15:17;15:42;15:57;16:12;16:27;16:44;17:03;17:19;17:36;17:53;18:12;18:31;18:53;19:16;19:36;19:56;20:24;20:53
4;ул. Рабочая;06:34;06:56;07:20;07:48;08:06;08:17;08:27;08:41;08:58;09:18;09:38;10:20;10:38;10:56;11:14;11:52;12:37;13:22;13:48;14:10;14:33;14:56;15:20;15:45;16:00;16:15;16:30;16:47;17:06;17:22;17:39;17:56;18:15;18:34;18:56;19:19;19:39;19:59;20:27;20:56
5;ул. Молодогвардейцев;06:35;06:57;07:22;07:50;08:08;08:19;08:29;08:43;09:00;09:20;09:40;10:22;10:40;10:58;11:16;11:54;12:39;13:24;13:50;14:12;14:35;14:58;15:22;15:47;16:02;16:17;16:32;16:49;17:08;17:24;17:41;17:58;18:17;18:36;18:58;19:21;19:41;20:01;20:28;20:57
6;м-н Пышма;06:37;06:59;07:24;07:52;08:10;08:21;08:31;08:45;09:02;09:22;09:42;10:24;10:42;11:00;11:18;11:56;12:41;13:26;13:52;14:14;14:37;15:00;15:24;15:49;16:04;16:19;16:35;16:52;17:11;17:27;17:44;18:01;18:20;18:39;19:01;19:24;19:44;20:03;20:30;20:59
7;Школа №69;06:39;07:01;07:26;07:54;08:13;08:24;08:34;08:48;09:05;09:25;09:45;10:27;10:45;11:03;11:21;11:59;12:44;13:29;13:55;14:17;14:40;15:03;15:27;15:52;16:07;16:22;16:39;16:56;17:15;17:31;17:48;18:05;18:24;18:43;19:05;19:28;19:48;20:06;20:33;21:02
8;Автокемпинг;06:40;07:02;07:27;07:55;08:14;08:25;08:35;08:49;09:06;09:26;09:46;10:28;10:46;11:04;11:22;12:00;12:45;13:30;13:56;14:18;14:41;15:04;15:28;15:53;16:08;16:23;16:40;16:57;17:16;17:32;17:49;18:06;18:25;18:44;19:06;19:29;19:49;20:07;20:34;21:03
9;поворот на больничный комплекс Нефтяник;06:44;07:08;07:33;08:01;08:18;08:29;08:39;08:53;09:10;09:30;09:50;10:32;10:50;11:08;11:26;12:04;12:49;13:34;14:00;14:22;14:45;15:08;15:32;15:57;16:12;16:27;16:47;17:04;17:23;17:39;17:56;18:13;18:32;18:51;19:13;19:36;19:56;20:11;20:38;21:07
10;ул. Федора Достоевского (д. Патрушева);06:48;07:12;07:37;08:05;08:22;08:33;08:43;08:57;09:14;09:34;09:54;10:36;10:54;11:12;11:30;12:08;12:53;13:38;14:04;14:26;14:49;15:12;15:36;16:01;16:16;16:31;16:51;17:08;17:27;17:43;18:00;18:17;18:36;18:55;19:17;19:40;20:00;20:15;20:42;21:11
11;ул. Александра Пушкина (д. Патрушева);06:50;07:14;07:39;08:07;08:24;08:35;08:45;08:59;09:16;09:36;09:56;10:38;10:56;11:14;11:32;12:10;12:55;13:40;14:06;14:28;14:51;15:14;15:38;16:03;16:18;16:33;16:53;17:10;17:29;17:45;18:02;18:19;18:38;18:57;19:19;19:42;20:02;20:17;20:44;21:13
12;Никольский (д. Патрушева);06:18;06:37;06:54;07:02;07:14;07:27;07:47;08:11;08:31;08:51;09:12;09:33;09:51;10:09;10:27;10:45;11:05;11:25;11:50;12:16;13:01;13:46;14:33;14:58;15:28;15:43;15:58;16:12;16:27;16:40;16:57;17:16;17:35;17:57;18:22;18:50;19:17;19:46;20:15
