1;с.Упорово АС;18:00
2;п.Лесной пов.;18:15
3;п.Мичуринский;18:37
4;п.Озерки пов.;18:42
5;г.Заводоуковск ЖД;18:56;20:30
6;г.Заводоуковск АВ;19:45
