1;Областная научная библиотека
2;площадь Центральная
3;м-н Океан
4;Площадь Борцов Революции
5;Набережная
6;Строительный институт ТИУ
7;Сквер Святителя Филофея
8;ул. Подгорная
9;ул. Коммунистическая
10;ул. Тюменская
11;ул. Курчатова
12;п. Док
