1;Администрация  г. Тюмени;06:36;06:57;07:18;07:45;08:09;08:32;08:54;09:21;09:48;10:20;10:54;11:28;12:02;12:36;13:16;13:56;14:38;15:20;16:02;16:44;17:20;17:52;18:21;19:00;19:36;20:11;20:50;21:32
2;Областная научная библиотека;
3;площадь Центральная;
4;ул. Первомайская;
5;ул. Дзержинского;06:21;06:42;07:03;07:24;07:47;08:14;08:41;09:15;09:49;10:23;10:57;11:31;12:11;12:51;13:33;14:15;14:57;15:39;16:13;16:45;17:13;17:52;18:30;19:13;19:52;20:34;21:14;21:54
6;ул. 2-я Луговая;06:23;06:44;07:05;07:26;07:49;08:16;08:43;09:17;09:51;10:25;10:59;11:33;12:13;12:53;13:35;14:17;14:59;15:41;16:15;16:47;17:16;17:55;18:34;19:15;19:54;20:36;21:16;21:56
7;ул. Мысовская;06:25;06:46;07:07;07:28;07:51;08:18;08:45;09:19;09:53;10:27;11:01;11:35;12:15;12:55;13:37;14:19;15:01;15:43;16:17;16:49;17:18;17:57;18:36;19:17;19:56;20:38;21:18;21:58
8;ул. Астраханская;06:26;06:47;07:08;07:29;07:52;08:19;08:46;09:20;09:54;10:28;11:02;11:36;12:16;12:56;13:38;14:20;15:02;15:44;16:18;16:50;17:20;17:59;18:38;19:18;19:57;20:39;21:19;21:59
9;I Заречный микрорайон;06:28;06:49;07:10;07:31;07:54;08:21;08:48;09:22;09:56;10:30;11:04;11:38;12:18;12:58;13:40;14:22;15:04;15:46;16:20;16:52;17:22;18:01;18:41;19:20;19:59;20:41;21:21;22:01
10;СК Здоровье;06:29;06:50;07:11;07:33;07:56;08:23;08:50;09:23;09:57;10:31;11:05;11:39;12:19;12:59;13:41;14:23;15:05;15:47;16:21;16:53;17:24;18:03;18:43;19:21;20:00;20:42;21:22;22:02
