1;с.Викулово АС;10:00;20:58
2;с.Чебаклей пов.;10:10
3;с.Доставалово пов.;10:20
4;с.Чуртан пов.;10:24
5;с.Нововяткино;10:46;20:09
6;д.Челнокова пов.;11:10
7;д.Погорелка пов.;11:20
8;с.Ощепково пов.;11:29
9;д.Спирина пов.;11:32
10;с.Быструха пов.;11:39
11;д.Тельцова пов.;11:48
12;д.Бобыльск пов.;12:00
13;д.Кареглазова пов.;12:07
14;с.Абатское АС;12:25;18:45
15;д.Кокуй пов.;12:37
16;д.Логинова пов.;12:49
17;с.Тушнолобово пов.;12:56
18;д.Репьева пов.;12:59
19;д.Фирсова пов.;13:06
20;с.Равнец пов.;13:25
21;г.Ишим АВ;14:00;17:00
