1;с.Аромашево АС;06:00;11:30;20:13;23:48
2;д.Юрминка;06:13;11:43
3;д.Вагина пов.;06:15;11:46
4;с.Бескозобово пов.;06:22;11:52
5;д.Русакова пов.;06:27;11:57
6;с.Малышенка пов.;06:32;12:02
7;д.Свинина пов.;06:35;12:05
8;д.Кармацкая пов.;06:38;12:08
9;с.Королево пов.;06:44;12:14
10;р.п.Голышманово АС;07:20;12:50;19:15;22:50
11;с.Усть-Ламенка пов.;07:49;13:20
12;д.Слободская пов.;07:55;13:25
13;с.Шабаново пов.;07:59;13:30
14;Лицей;08:02;13:33;17:53;21:30
15;с.Вагай пов.;08:33;14:06
16;с.Новая Заимка пов.;08:53;14:31
17;с.Падун пов.;09:11;14:46
18;г.Заводоуковск АВ;09:35;15:10;17:05;20:40
19;г.Ялуторовск пов.;09:53;15:28
20;р.п.Богандинский пов.;10:36;16:11
21;г.Тюмень АВ;11:12;15:15;16:48;18:50
