1;с.Вагай АС;10:30;16:45
2;д.Ульяновка пов.;10:32;16:47
3;д.Старый Погост пов.;10:35;16:50
4;д.Елань пов.;10:38;16:53
5;д.Накуларова пов.;10:41;16:56
6;с.Куларово пов.;10:43;16:58
7;д.Шевелева пов.;10:46;17:01
8;д.Киселева пов.;10:52;17:07
9;д.Симонова пов.;10:54;17:10
10;д.Томилова пов.;10:57;17:13
11;с.Санниково пов.;11:00;17:16
12;д.Маслова пов.;11:09;17:27
13;д.Иртышатские Юрты пов.;11:17;17:36
14;д.Сабанаки пов.;11:19;17:38
15;с.Ворогушино пов.;11:21;17:40
16;с.Кутарбитка пов.;11:54;18:13
17;с.Байкалово пов.;12:12;18:33
18;с.Ярково АС;12:35;13:20;19:05;19:40
19;с.Каскара пов.;14:46;21:08
20;г.Тюмень АВ;10:00;16:40
