1;п. Док;
2;ул. Курчатова;
3;ул. Тюменская;
4;ул. Коммунистическая;
5;ул. Подгорная;
6;Сквер Святителя Филофея;
7;Детский сад №55;06:41;07:01;07:36;08:03;08:33;08:59;09:25;09:54;10:31;11:09;11:46;12:21;13:03;13:43;14:24;15:00;15:45;16:22;17:08;17:33;17:58;18:34;19:10;19:57;20:39
8;ул. Полевая;06:43;07:03;07:38;08:05;08:35;09:01;09:27;09:56;10:33;11:11;11:48;12:23;13:05;13:45;14:26;15:02;15:47;16:24;17:10;17:35;18:00;18:36;19:12;19:59;20:41
9;ул. Болотникова;06:45;07:05;07:40;08:07;08:37;09:03;09:29;09:58;10:35;11:13;11:50;12:25;13:07;13:47;14:28;15:04;15:49;16:26;17:12;17:37;18:02;18:38;19:14;20:01;20:43
10;Дом Обороны;
11;з-д Сибнефтегазмаш;
12;з-д Аккумуляторный;
13;ул. Авторемонтная;
14;ТЭМЗ;
15;Школа №51;
16;ул. Курортная;
