1;Центральный рынок 3;07:21;10:58;14:53;18:15;20:54
2;ул. Володарского;07:24;11:01;14:56;18:19;20:57
3;Детская поликлиника;07:25;11:02;14:57;18:21;20:58
4;ул. Даудельная;07:28;11:05;15:00;18:25;21:01
5;ул. Циолковского;07:31;11:09;15:04;18:30;21:04
6;Алебашевский базар;07:34;11:12;15:07;18:33;21:07
7;озеро Алебашево;07:35;11:13;15:08;18:34;21:08
8;ул. Ватутина;07:37;11:15;15:10;18:36;21:10
9;Сад Дружбы;07:39;11:17;15:12;18:38;21:12
10;парк им. Гагарина;07:43;11:21;15:16;18:42;21:16
11;Западно-сибирский медицинский центр;07:45;11:23;15:18;18:44;21:18
12;"Школа №48 им. генерала Карбышева";07:47;11:25;15:20;18:46;21:20
13;ул. Судоремонтная;07:47;11:25;15:20;18:46;21:20
14;ул. Мусоргского;07:49;11:26;15:21;18:47;21:21
15;Тюмень Сити Молл;07:50;11:28;15:23;18:49;21:23
16;ул. Дальняя;07:52;11:30;15:25;18:51;21:25
17;Тобольский тракт;07:53;11:30;15:25;18:51;21:25
18;Источник 1;07:57;11:34;15:29;18:55;21:29
19;Яр 1;07:59;11:36;15:31;18:57;21:31
20;Дачи;08:01;11:38;15:33;18:59;21:32
21;з-д Сибнефтемаш;08:03;11:40;15:35;19:01;21:34
22;Жилой район "Ритмы";08:04;11:41;15:36;19:02;21:35
23;СНТ "Элита";08:05;11:42;15:37;19:03;21:36
24;Тюменьгосплем;08:06;11:43;15:38;19:04;21:36
25;Пекарня;08:09;11:46;15:41;19:07;21:39
26;Музей с. Ембаево;08:11;11:48;15:43;19:09;21:40
27;Малая мечеть;08:12;11:49;15:44;19:10;21:41
28;с.Ембаево (ул.Дружбы);
29;Теплицы;08:14;11:51;15:46;19:12;21:43
30;д.Тураева;
31;с/о Романтик;08:33;12:10;16:05;19:31
32;с/о Романтик 2;08:33;12:10;16:05;19:31
33;с/о Речник;06:00;08:52;12:20;16:15;19:37
