1;СК Здоровье;07:30;10:08;13:29;17:11
2;Автоколонна №1228;07:33;10:11;13:32;17:14
3;Школа №9;07:34;10:12;13:33;17:15
4;ул. Велижанская;07:36;10:14;13:35;17:18
5;сквер Мелиораторов;07:42;10:20;13:41;17:24
6;ул. 70 лет Октября;07:43;10:21;13:42;17:26
7;с/о Чайка;07:45;10:23;13:44;17:28
8;СНТ Фортуна;08:03;10:38;14:01;17:45
9;с/о Здоровье;08:05;10:40;14:03;17:47
10;с/о Сундукуль;08:13;10:47;14:11;17:55
11;с/о Геолог-2;
12;Дачи;08:18;10:52;14:16;18:00
13;с/о "Лебёдушка";08:19;10:53;14:16;18:00
14;с/о Полиграфист;08:20;10:54;14:18;18:02
15;с/о "У Сосны";08:21;10:54;14:18;18:02
16;с/о Здоровье-3;08:45;11:20;15:02;18:25
