1;ЖДВ
2;сквер Семена Пацко
3;ул. Смоленская
4;Цветной бульвар 2
5;Центральный рынок 2
6;ул. М. Тореза
7;Сквер Железнодорожников
8;Почта
9;ул. Н. Чаплина
10;ул. Молодежная
11;ул. Д. Бедного
12;ул. Салехардская
13;Гимназия №83
14;VI микрорайон
15;проезд 9 Мая
16;V мкр.
17;ул. Е. Богдановича
18;ул. П. Артамонова
19;ул. Н. Семенова
