1;з-д Медоборудования;08:01;14:00;14:00;17:15
2;ул. Валерии Гнаровской;08:11;14:10;17:25
3;ул. Депутатская;08:12;14:11;17:26
4;VI микрорайон;08:14;14:13;17:28
5;проезд 9 Мая;08:15;14:14;17:29
6;V мкр.;08:18;14:17;17:32
7;мкр. Тюменский;08:19;14:18;17:33
8;Театр Ангажемент;08:22;14:21;17:36
9;ЖК Юбилейный;08:24;14:23;17:38
10;мкр. Суходольский;08:25;14:24;17:39
11;Птицефабрика (по требованию);08:40;14:39;17:54
12;Дачи 1;06:57;09:05;15:07;18:24
13;Птицефабрика (по требованию);07:00;09:08;15:10;18:28
14;ТЭЦ №2;07:09;09:17;15:19;18:38
15;ул. Теплотехников;07:10;09:18;15:20;18:39
16;Восточный 3;07:12;09:20;15:22;18:41
17;Поликлиника;07:15;09:23;15:25;18:44
18;ул. Моторостроителей;07:16;09:24;15:26;18:45
19;Театр Ангажемент;07:19;09:27;15:29;18:48
20;Сквер Депутатов;07:21;09:29;15:31;18:50
21;мкр. Тюменский;07:23;09:31;15:33;18:52
22;ТЦ Широтный;07:24;09:32;15:34;18:53
23;V мкр.;07:26;09:34;15:36;18:55
24;ул. Николая Федорова;07:27;09:35;15:37;18:56
25;проезд 9 Мая;07:27;09:35;15:37;18:56
26;VI микрорайон;07:28;09:36;15:38;18:57
27;ул. Депутатская;07:30;09:38;15:40;18:59
28;Сквер Победы;07:30;09:38;15:40;18:59
29;ул. Валерии Гнаровской;07:31;09:39;15:41;19:00
30;Рыбокомбинат;07:33;09:41;15:43;19:02
31;Горводоканал;07:34;09:42;15:44;19:03
32;бульвар Николая Чукмалдина;07:35;09:43;15:45;19:04
33;Кросно;07:41;09:49;15:51;19:10
