1;з-д Медоборудования;06:49;09:30;12:24;15:08;18:15
2;Автовокзал;06:51;09:32;12:26;15:10;18:17
3;Сталепромышленная;06:54;09:36;12:30;15:14;18:21
4;Школа №41;06:56;09:37;12:31;15:15;18:22
5;ул. Воровского;06:58;09:40;12:34;15:18;18:25
6;"Подъезд к развязке ул. Монтажников";06:59;09:41;12:35;15:19;18:26
7;Центр занятости населения;07:00;09:42;12:36;15:20;18:28
8;Тюменьгортранс;07:02;09:44;12:38;15:22;18:31
9;Детский сад №85;07:03;09:45;12:39;15:23;18:32
10;Поликлиника №6;07:04;09:46;12:40;15:24;18:33
11;"Детская библиотека им. К. Я. Лагунова";07:06;09:48;12:42;15:26;18:35
12;г-ца Восток;07:08;09:50;12:44;15:28;18:38
13;Газпром;07:11;09:53;12:47;15:31;18:42
14;ул. Холодильная;07:13;09:55;12:49;15:33;18:45
15;Тюменский драматический театр;07:15;09:57;12:51;15:35;18:47
16;ул. М. Горького;07:16;09:58;12:52;15:36;18:48
17;ул. М. Тореза;07:21;10:03;12:57;15:41;18:54
18;Сквер Железнодорожников;07:23;10:05;12:59;15:43;18:56
19;Универмаг;07:24;10:06;13:00;15:44;18:58
20;Университет путей сообщения;07:26;10:08;13:02;15:46;19:00
21;ул. Паровозная;07:28;10:10;13:04;15:48;19:03
22;Городская поликлиника №5;07:30;10:12;13:06;15:50;19:06
23;ул. Магнитогорская;07:31;10:13;13:07;15:51;19:07
24;ул.Транспортная;07:31;10:14;13:08;15:52;19:09
25;ул. Пархоменко;07:33;10:16;13:10;15:54;19:11
26;Гимназия №49;07:33;10:17;13:11;15:55;19:12
27;м-н Пышма;07:35;10:20;13:14;15:58;19:15
28;Школа №69;07:37;10:22;13:16;16:00;19:18
29;Автокемпинг;07:38;10:23;13:17;16:01;19:19
30;Больничный комплекс Нефтяник;07:43;10:28;13:22;16:06;19:24
31;ОБИЛ (основной корпус);07:44;10:29;13:23;16:07;19:25
32;ОБИЛ (Центр нейрохирургии);07:44;10:29;13:23;16:07;19:25
33;ОБИЛ (Центр нейрохирургии);08:05;10:41;13:34;16:20;19:40
