1;с.Упорово АС;10:10;14:05
2;п.Лесной пов.;10:23
3;п.Мичуринский;10:40
4;п.Озерки пов.;10:46
5;г.Заводоуковск АВ;11:10;13:10
6;г.Ялуторовск АВ;11:45;12:30
