1;мкр. Лесной;06:21;06:53;07:08;07:44;08:06;08:41;09:17;09:33;10:03;10:18;10:46;11:11;11:45;12:13;12:44;13:03;13:22;13:51;14:23;14:43;14:43;15:13;15:13;15:31;15:31;15:49;16:16;16:35;17:00;17:18;17:50;18:28;19:04;19:30;19:59;20:19;21:01;21:27
2;Гаражи;06:28;07:00;07:15;07:51;08:13;08:48;09:24;09:40;10:10;10:25;10:53;11:18;11:52;12:20;12:51;13:10;13:29;13:58;14:30;14:50;15:20;15:38;15:56;16:23;16:42;17:07;17:25;17:57;18:35;19:11;19:37;20:06;20:26;21:08;21:34
3;ТЦ Лента;06:31;07:03;07:18;07:54;08:16;08:51;09:27;09:43;10:13;10:28;10:56;11:21;11:55;12:23;12:54;13:13;13:32;14:01;14:33;14:53;15:23;15:41;15:59;16:26;16:45;17:10;17:28;18:00;18:38;19:14;19:40;20:09;20:29;21:11;21:37
4;Ялуторовский тракт (по требованию);06:32;07:04;07:19;07:55;08:17;08:52;09:28;09:44;10:14;10:29;10:57;11:22;11:56;12:24;12:55;13:14;13:33;14:02;14:34;14:54;15:24;15:42;16:00;16:27;16:46;17:11;17:29;18:01;18:39;19:15;19:41;20:10;20:30;21:12;21:38
5;Управление Росгвардии;06:33;07:05;07:20;07:56;08:18;08:53;09:28;09:44;10:14;10:29;10:57;11:22;11:56;12:24;12:55;13:14;13:33;14:02;14:34;14:54;15:24;15:42;16:00;16:27;16:47;17:12;17:30;18:02;18:39;19:15;19:41;20:10;20:30;21:12;21:38
6;Рабочий поселок;06:37;07:09;07:24;08:00;08:22;08:57;09:31;09:47;10:17;10:32;11:00;11:25;11:59;12:27;12:58;13:17;13:36;14:05;14:37;14:57;15:27;15:45;16:03;16:30;16:51;17:16;17:34;18:06;18:42;19:18;19:44;20:13;20:33;21:15;21:41
7;Тюменская домостроительная компания;06:38;07:10;07:25;08:01;08:23;08:58;09:31;09:47;10:17;10:32;11:00;11:25;11:59;12:27;12:58;13:17;13:36;14:05;14:37;14:57;15:27;15:45;16:03;16:30;16:52;17:17;17:35;18:07;18:42;19:18;19:44;20:13;20:33;21:15;21:41
8;з-д Электрон;06:40;07:12;07:27;08:03;08:25;09:00;09:33;09:49;10:19;10:34;11:02;11:27;12:01;12:29;13:00;13:19;13:38;14:07;14:39;14:59;15:29;15:47;16:05;16:32;16:55;17:20;17:38;18:10;18:44;19:20;19:46;20:15;20:35;21:17;21:43
9;ул. Воровского;06:44;07:16;07:31;08:07;08:29;09:04;09:35;09:51;10:21;10:36;11:04;11:29;12:03;12:31;13:02;13:21;13:40;14:09;14:41;15:01;15:31;15:49;16:07;16:34;16:58;17:23;17:41;18:13;18:46;19:22;19:48;20:17;20:37;21:19;21:45
10;Сибнипигазстрой;06:45;07:17;07:32;08:08;08:30;09:05;09:36;09:52;10:22;10:37;11:05;11:30;12:04;12:32;13:03;13:22;13:41;14:10;14:42;15:02;15:32;15:50;16:08;16:35;17:00;17:25;17:43;18:15;18:47;19:23;19:49;20:18;20:38;21:20;21:46
11;з-д Медоборудования;06:49;07:21;07:36;08:12;08:34;09:09;09:39;09:55;10:25;10:40;11:08;11:33;12:07;12:35;13:06;13:25;13:44;14:13;14:45;15:05;15:35;15:53;16:11;16:38;17:04;17:29;17:47;18:19;18:50;19:26;19:52;20:21;20:41;21:23;21:49
12;ДК Строитель;06:52;07:24;07:39;08:15;08:37;09:12;09:42;09:58;10:28;10:43;11:11;11:36;12:10;12:38;13:09;13:28;13:47;14:16;14:48;15:08;15:38;15:56;16:14;16:41;17:07;17:32;17:50;18:22;18:53;19:29;19:55;20:24;20:44;21:26
13;м-н Буратино;
14;г-ца Восток;
15;Газпром;
16;ул. Холодильная;
17;Тюменский драматический театр;
18;ул. М. Горького;
19;ул. М. Тореза;
20;Сквер Железнодорожников;
21;Универмаг;
22;Университет путей сообщения;
23;ул. Паровозная;
24;Городская поликлиника №5;
25;Администрация Тюменского района;
26;Спортцентр Энерго;
27;Универсальный рынок;
28;ул. Московский тракт;
29;развязка Московского тракта;
30;д. Дербыши;
31;ул. Плодовая (п. Московский);
32;Институт;
33;Детский сад;
34;Велес;
35;улица Хвойная;
36;д. Падерина;
37;ул. Южная (д. Падерина);
38;ул. Лесная (д. Падерина);
