1;Центральный рынок 3
2;ул. Володарского
3;Детская поликлиника
4;ул. Даудельная
5;ул. Циолковского
6;Алебашевский базар
7;озеро Алебашево
8;ул. Ватутина
9;Рынок "Северный"
10;Геологоразведка
11;Лесопарк (центральный вход)
12;улица Малышева
13;ДК Торфяник
14;ул. Игримская
15;Тарманы
16;ул. Академика Сахарова
17;ул. Газопромысловая
18;ул. Газопромысловая
