1;с.Викулово АС;10:31;12:00;14:40;18:36;19:00
2;с.Березино;12:13;19:13
3;д.Иковское пов.;12:19;19:19
4;д.Петрова пов.;12:23;19:23
5;с.Боково пов.;12:29;19:29
6;д.Черемшанка;12:35;19:35
7;с.Готопутово;12:41;19:41
8;д.Бунькова;12:49;19:49
9;с.Жидоусово;12:56;19:56
10;д.Стрельцовка пов.;13:08;20:08
11;с.Большое Сорокино АС;09:05;13:30;17:15;20:30
12;д.Воскресенка пов.;13:46;20:46
13;д.Рядовичи пов.;13:52;20:52
14;д.Новоивановка пов.;14:07;21:07
15;д.Казанка пов.;14:11;21:11
16;с.Прокуткино пов.;14:18;21:18
17;д.Бокаревка пов.;14:35;21:35
18;г.Ишим АВ;07:10;12:00;14:58;15:15;21:58
