19;ул. Холодильная;06:31;07:06;08:31;09:40;11:26;12:49;14:12;15:56;17:16;18:38;19:43;20:35;21:37
20;ул.Рижская;
21;Тюменский индустриальный университет;
22;ул. Мельникайте;
23;Прокуратура Тюменской области;
24;Бизнес-центр Петр Столыпин;
25;ул. Циолковского;
26;Сквер Петра Потапова;
27;ул. Циолковского;
28;ул. Профсоюзная;
29;ул. М. Горького;
30;Прокуратура Тюменской области;
31;Тюменский индустриальный университет;
32;ул. Рижская;
33;Площадь Памяти;06:34;07:09;08:35;09:43;11:29;12:52;14:15;15:59;17:19;18:42;19:46;20:38;21:40
34;ул.50 лет ВЛКСМ;06:36;07:12;08:38;09:46;11:32;12:55;14:18;16:02;17:23;18:46;19:49;20:41;21:43
35;ул.Тарская;06:38;07:15;08:41;09:48;11:34;12:57;14:20;16:04;17:26;18:49;19:51;20:43;21:45
36;Социальный фонд России;06:40;07:17;08:43;09:50;11:36;12:59;14:22;16:06;17:28;18:51;19:53;20:45;21:47
37;ул. Шиллера;06:43;07:20;08:46;09:53;11:39;13:02;14:25;16:09;17:32;18:55;19:56;20:48;21:50
38;ул. М. Тореза;06:44;07:22;08:48;09:55;11:41;13:04;14:27;16:11;17:34;18:57;19:58;20:50;21:52
39;Сквер Железнодорожников;06:48;07:27;08:53;09:59;11:45;13:08;14:31;16:15;17:39;19:02;20:02;20:54;21:56
40;Детский сад №112;06:49;07:28;08:54;10:00;11:46;13:09;14:32;16:16;17:40;19:03;20:03;20:55;21:57
41;ул. Мира;06:50;07:29;08:55;10:01;11:47;13:10;14:33;16:17;17:41;19:04;20:04;20:56;21:58
42;ул. Большевиков;06:52;07:31;08:57;10:03;11:49;13:12;14:35;16:19;17:43;19:06;20:06;20:58;22:00
43;ул. Новосибирская;06:52;07:32;08:58;10:04;11:50;13:13;14:36;16:20;17:44;19:07;20:06;20:58;22:00
44;ул.Парковая;06:54;07:34;09:00;10:05;11:51;13:14;14:37;16:21;17:46;19:09;20:08;21:00;22:02
45;ул. Волгоградская;06:55;07:35;09:01;10:06;11:52;13:15;14:38;16:22;17:47;19:10;20:09;21:01;22:03
46;Сквер Юности;06:56;07:37;09:03;10:08;11:54;13:17;14:40;16:24;17:49;19:12;20:10;21:02;22:04
47;Лицей №34;06:58;07:38;09:04;10:09;11:55;13:18;14:41;16:25;17:50;19:13;20:12;21:04;22:06
48;Сквер Авиаторов;06:59;07:40;09:06;10:11;11:57;13:20;14:43;16:27;17:52;19:15;20:13;21:05;22:07
49;Проезд Можайский;07:02;07:43;09:09;10:14;12:00;13:23;14:46;16:30;17:55;19:18;20:16;21:08;22:10
50;ул. Паровозная;07:04;07:46;09:12;10:16;12:02;13:25;14:48;16:32;17:59;19:20;20:18;21:10;22:12
51;Городская поликлиника №5;07:05;07:48;09:14;10:17;12:03;13:26;14:49;16:33;18:01;19:21;20:19;21:11;22:13
52;Администрация Тюменского района;07:06;07:50;09:16;10:19;12:05;13:28;14:51;16:35;18:03;19:22;20:20;21:12;22:14
53;Спортцентр Энерго;07:06;07:50;09:16;10:19;12:05;13:28;14:51;16:35;18:04;19:23;20:20;21:12;22:14
54;Универсальный рынок;07:08;07:52;09:18;10:21;12:07;13:30;14:53;16:37;18:06;19:25;20:22;21:14;22:16
55;ул. Московский тракт;07:09;07:53;09:19;10:22;12:08;13:31;14:54;16:38;18:07;19:26;20:23;21:15;22:17
56;ул. Кремлёвская;07:12;07:56;09:22;10:25;12:11;13:34;14:57;16:41;18:11;19:30;20:26;21:18;22:20
