1;улица Андрея Кореневского;05:58;06:33;07:39;09:00;10:46;12:09;13:32;15:16;16:36;17:52;19:02;20:00;21:02
2;ул. Московский тракт;06:01;06:36;07:45;09:05;10:51;12:14;13:37;15:21;16:41;17:58;19:08;20:04;21:06
3;Спортцентр Энерго;06:02;06:37;07:46;09:06;10:52;12:15;13:38;15:22;16:42;18:00;19:10;20:05;21:07
4;Администрация Тюменского района;06:04;06:39;07:49;09:08;10:54;12:17;13:40;15:24;16:44;18:03;19:13;20:07;21:09
5;Городская поликлиника №5;06:05;06:40;07:51;09:10;10:56;12:19;13:42;15:26;16:46;18:05;19:15;20:09;21:11
6;ул. 9 Января;06:08;06:43;07:54;09:13;10:59;12:22;13:45;15:29;16:49;18:08;19:18;20:12;21:14
7;Сквер Авиаторов;06:10;06:45;07:57;09:15;11:01;12:24;13:47;15:31;16:51;18:10;19:20;20:14;21:16
8;Лицей №34;06:13;06:48;08:02;09:18;11:04;12:27;13:50;15:34;16:54;18:13;19:23;20:17;21:19
9;Сквер Юности;06:14;06:49;08:04;09:20;11:06;12:29;13:52;15:36;16:56;18:15;19:24;20:18;21:20
10;Детский сад №50;06:15;06:50;08:05;09:20;11:06;12:29;13:52;15:36;16:56;18:15;19:25;20:19;21:21
11;ул. Волгоградская;06:16;06:51;08:06;09:22;11:08;12:31;13:54;15:38;16:58;18:17;19:26;20:20;21:22
12;ул.Парковая;06:17;06:52;08:08;09:23;11:09;12:32;13:55;15:39;16:59;18:18;19:27;20:21;21:23
13;ул. Большевиков;06:18;06:53;08:11;09:25;11:11;12:34;13:57;15:41;17:01;18:20;19:28;20:22;21:24
14;ул. Мира;06:20;06:55;08:13;09:27;11:13;12:36;13:59;15:43;17:03;18:22;19:30;20:24;21:26
15;Универмаг;06:22;06:57;08:17;09:29;11:15;12:38;14:01;15:45;17:05;18:24;19:32;20:26;21:28
16;Сквер Железнодорожников;06:24;06:59;08:19;09:31;11:17;12:40;14:03;15:47;17:07;18:26;19:34;20:28;21:30
17;ул. А. Матросова;06:27;07:02;08:24;09:35;11:21;12:44;14:07;15:51;17:11;18:31;19:38;20:31;21:33
18;Школа №5;06:30;07:05;08:29;09:39;11:25;12:48;14:11;15:55;17:15;18:36;19:42;20:34;21:36
