1;СК Здоровье;05:31;07:28;10:00;11:58;15:08;17:20;20:10
2;Автоколонна №1228;05:34;07:33;10:05;12:03;15:13;17:25;20:15
3;Школа №9;05:35;07:35;10:07;12:05;15:15;17:27;20:16
4;ул. Велижанская;05:37;07:39;10:10;12:08;15:18;17:31;20:19
5;МПАТП № 2;05:39;07:41;10:12;12:10;15:20;17:34;20:21
6;ул. Буровиков;05:41;07:44;10:16;12:14;15:24;17:38;20:23
7;сквер Мелиораторов;05:43;07:47;10:18;12:16;15:26;17:41;20:25
8;ул. 70 лет Октября;05:44;07:49;10:20;12:18;15:28;17:43;20:27
9;с/о Малинка;05:45;07:51;10:22;12:20;15:30;17:45;20:29
10;с/о Чайка;05:47;07:53;10:24;12:22;15:32;17:47;20:31
11;с/о Радуга;05:48;07:54;10:25;12:23;15:33;17:48;20:32
12;Дачи (с/о Бирюсинка);05:49;07:55;10:26;12:24;15:34;17:49;20:33
13;с/о Строитель;05:50;07:57;10:28;12:26;15:36;17:51;20:35
14;с/о Геолог;05:51;07:58;10:29;12:27;15:37;17:52;20:36
15;с/о Домостроитель (для м-тов 129,149 по требованию);05:52;07:59;10:30;12:28;15:38;17:53;20:37
16;с/о Электрон (для м-та 129 по требованию);06:03;08:10;10:41;12:39;15:49;18:04;20:47
17;с/о Электрон-1   (из города, м-т №120);06:07;08:14;10:45;12:43;15:53;18:08;20:51
18;с/о Электрон-2  (из города) м-т №120;06:08;08:15;10:46;12:44;15:54;18:09;20:52
19;с/о Ягодное-1;06:09;08:16;10:47;12:45;15:55;18:10;20:53
20;с/о Ягодное-2;06:10;08:17;10:48;12:46;15:56;18:11;20:54
21;с/о Ягодное-3;06:16;08:23;10:54;12:52;16:02;18:17;21:00
22;с/о Подорожник;06:17;08:24;10:55;12:53;16:03;18:18;21:01
23;с/о Солнечное (м-т №120);06:33;08:43;11:15;13:13;16:21;18:37;21:19
