1;мкр. Тюменский;06:49;07:32;08:24;09:04;10:12;10:59;11:46;12:33;13:19;14:39;15:49;16:57;17:55;18:34;19:23;20:03;20:50
2;III микрорайон;06:50;07:35;08:26;09:06;10:14;11:01;11:48;12:35;13:21;14:41;15:51;16:58;17:56;18:35;19:24;20:04;20:51
3;Торговый центр;06:51;07:36;08:28;09:07;10:15;11:02;11:49;12:36;13:22;14:42;15:52;16:59;17:57;18:36;19:25;20:05;20:52
4;ул. Пермякова;06:53;07:39;08:30;09:09;10:17;11:04;11:51;12:38;13:24;14:44;15:54;17:01;17:59;18:38;19:27;20:07;20:54
5;Кросно;06:56;07:45;08:33;09:12;10:20;11:07;11:54;12:41;13:27;14:47;15:57;17:06;18:04;18:41;19:30;20:10;20:57
6;ул. Воровского;05:49;06:58;07:48;08:36;09:14;10:22;11:09;11:56;12:43;13:29;14:49;15:59;17:09;18:06;18:44;19:31;20:11;20:58
7;Управление по вопросам миграции;05:53;07:02;07:53;08:41;09:18;10:26;11:13;12:00;12:47;13:33;14:53;16:03;17:14;18:11;18:48;19:35;20:15;21:02
8;Завод железобетонных изделий-3;05:55;07:04;07:57;08:45;09:21;10:29;11:16;12:03;12:50;13:36;14:56;16:06;17:18;18:15;18:51;19:38;20:18;21:05
9;ул. Пригородная;05:59;07:08;08:02;08:50;09:26;10:34;11:21;12:08;12:55;13:41;15:01;16:11;17:23;18:20;18:55;19:42;20:22;21:09
10;д. Гилева;06:00;07:09;08:03;08:51;09:27;10:35;11:22;12:09;12:56;13:42;15:02;16:12;17:24;18:21;18:56;19:43;20:23;21:10
11;ул. Алексея Маресьева;06:02;07:11;08:06;08:54;09:29;10:37;11:24;12:11;12:58;13:44;15:04;16:14;17:27;18:24;18:58;19:45;20:25;21:12
12;Озеро Кривое;06:03;07:13;08:08;08:56;09:31;10:39;11:26;12:13;13:00;13:46;15:06;16:16;17:31;18:25;19:00;19:46;20:26;21:13
13;Квартал Культура;06:05;07:15;08:10;08:58;09:33;10:41;11:28;12:15;13:02;13:48;15:08;16:18;17:35;18:27;19:01;19:48;20:28;21:15
14;ул. Стройотрядовская;06:06;07:16;08:11;08:59;09:34;10:42;11:29;12:16;13:03;13:49;15:09;16:19;17:38;18:28;19:02;19:49;20:29;21:16
15;ул. Уренгойская;06:07;07:18;08:12;09:00;09:35;10:43;11:30;12:17;13:04;13:50;15:10;16:20;17:40;18:29;19:04;19:50;20:30;21:17
16;ул. Рябиновая;06:07;07:19;08:13;09:01;09:36;10:44;11:31;12:18;13:05;13:51;15:11;16:21;17:43;18:30;19:05;19:50;20:30;21:17
17;ул. Казачьи луга;06:08;07:20;08:15;09:03;09:38;10:46;11:33;12:20;13:07;13:53;15:13;16:23;17:46;18:31;19:06;19:51;20:31;21:18
18;ул.Западносибирская;06:09;07:22;08:16;09:04;09:39;10:47;11:34;12:21;13:08;13:54;15:14;16:24;17:48;18:32;19:07;19:52;20:32;21:19
19;Детский сад №62;06:11;07:24;08:18;09:06;09:41;10:49;11:36;12:23;13:10;13:56;15:16;16:26;17:52;18:34;19:09;19:54;20:34;21:21
20;Фанерный завод;06:13;07:26;08:20;09:08;09:43;10:51;11:38;12:25;13:12;13:58;15:18;16:28;17:54;18:36;19:11;19:56;20:36;21:23
21;Тобольский тракт;06:20;07:35;08:29;09:17;09:52;11:00;11:47;12:34;13:21;14:07;15:27;16:37;18:03;18:45;19:18;20:03;20:43;21:30
22;ул. Дальняя;06:20;07:36;08:30;09:18;09:53;11:01;11:48;12:35;13:22;14:08;15:28;16:38;18:04;18:46;19:18;20:03;20:43;21:30
23;Тюмень Сити Молл;06:22;07:37;08:31;09:19;09:54;11:02;11:49;12:36;13:23;14:09;15:29;16:39;18:05;18:47;19:20;20:05;20:45;21:32
24;ул. Мусоргского;06:23;07:39;08:33;09:21;09:56;11:04;11:51;12:38;13:25;14:11;15:31;16:41;18:07;18:49;19:21;20:06;20:46;21:33
25;ул. Беляева;06:24;07:40;08:34;09:22;09:57;11:05;11:52;12:39;13:26;14:12;15:32;16:42;18:08;18:50;19:22;20:07;20:47;21:34
26;ул. Малиновского;06:24;07:40;08:34;09:22;09:57;11:05;11:52;12:39;13:26;14:12;15:32;16:42;18:09;18:50;19:22;20:07;20:47;21:34
27;Колледж водного транспорта;06:25;07:41;08:35;09:23;09:58;11:06;11:53;12:40;13:27;14:13;15:33;16:43;18:10;18:51;19:23;20:08;20:48;21:35
28;с/о Трудовик;06:26;07:42;08:36;09:24;09:59;11:07;11:54;12:41;13:28;14:14;15:34;16:44;18:11;18:52;19:24;20:09;20:49;21:36
29;ул. Тимофея Чаркова;06:27;07:44;08:38;09:26;10:01;11:09;11:56;12:43;13:30;14:16;15:36;16:45;18:13;18:53;19:25;20:10;20:50;21:37
30;ул. Надира Сагдеева;06:28;07:44;08:38;09:26;10:01;11:09;11:56;12:43;13:30;14:16;15:36;16:46;18:14;18:54;19:26;20:11;20:51;21:38
31;ул. Центральная;06:29;07:46;08:40;09:28;10:03;11:11;11:58;12:45;13:32;14:18;15:38;16:47;18:15;18:55;19:27;20:12;20:52;21:39
32;улица Сиреневая;06:31;07:47;08:41;09:29;10:04;11:12;11:59;12:46;13:33;14:19;15:39;16:49;18:17;18:57;19:29;20:14;20:54;21:41
33;ЖК Звездный городок (для высадки);06:31;07:48;08:42;09:30;10:05;11:13;12:00;12:47;13:34;14:20;15:40;16:49;18:18;18:57;19:29;20:14;20:54;21:41
34;ЖК Звездный городок (для посадки);06:36;07:20;08:04;09:17;10:04;10:51;11:38;12:24;13:04;13:44;14:24;15:22;16:21;17:20;18:24;19:11;19:58;21:00
