1;с.Вагай АС;06:10;13:20;13:31;18:42
2;д.Ульяновка пов.;06:14;13:23
3;д.Старый Погост пов.;06:18;13:27
4;д.Елань пов.;06:23;13:31
5;д.Накуларова пов.;06:27;13:34
6;с.Куларово пов.;06:30;13:36
7;с.Куларовское;06:39;12:58;13:43;18:19
8;д.Шевелева пов.;06:44;13:02;13:47;18:22
9;д.Киселева пов.;06:54;13:55
10;д.Симонова пов.;06:58;13:58
11;д.Томилова пов.;07:01;14:01
12;с.Санниково пов.;07:04;14:04
13;д.Маслова пов.;07:17;14:17
14;д.Пушнятская пов.;07:19;14:19
15;д.Иртышатские Юрты пов.;07:28;14:28
16;д.Сабанаки пов.;07:31;14:31
17;с.Ворогушино пов.;07:34;14:33
18;р.п.Сумкино пов.;07:36;14:35
19;г.Тобольск АВ;09:40;11:30;15:40;17:10
20;с.Абалак пов. (Развилка);09:56;15:56
21;п.Сибиряк пов.;10:04;16:04
22;д. Преображенка (ул.Северная);10:11;16:12
23;с.Преображенка (ул.Трактовая);10:14;16:14
24;с.Абалак пов.;10:19;16:18
25;д.Загваздина;10:27;16:26
26;д.Мостовая;10:40;16:41
27;д.Полуянова пов.;10:44;16:44
28;д.Байгара;10:48;16:48
29;д.Кобякская;10:56;16:56
30;д.Яркова;10:58;17:00
31;с.Второвагайское;11:02;17:03
32;с.Бегишевское;11:05;17:07
33;с.Бегишево;11:16;17:17
34;п.Инжура;11:26;17:27
35;д.Баишевская;11:30;17:31
36;д. Поварнина пов.;11:36;17:38
37;с.Фатеево;11:41;17:43
38;д. Истомина пов.;11:45;17:47
39;д.Березовка пов.;11:48;17:49
40;д. Шабры пов.;11:51;17:51
41;д.Выдумка пов.;11:54;17:54
42;п.Иртыш пов.;12:01;18:01
43;с.Супра;12:13;18:14
44;д.Малобыкова;12:31;18:27
45;п.Курья;06:30;12:47;13:30;18:43
