1;г.Ишим АВ;07:00;14:55
2;с.Тоболово пов.;07:25;15:23
3;с.Разъезд №36 пов. (Казарма);07:28;15:26
4;д.Крутые озерки пов.;07:35;15:32
5;п.Октябрьский пов.;07:37;15:34
6;с.Карасуль пов.;07:41;15:39
7;д.Черемшанка пов.;07:52;15:51
8;с.Гладилово пов.;08:01;16:01
9;р.п.Голышманово АС;08:25;11:10;16:30;18:45
10;с.Усть-Ламенка пов.;08:54;16:58
11;д.Слободская пов.;09:00;17:03
12;с.Шабаново пов.;09:04;17:07
13;с.Вагай пов.;09:36;17:38
14;с.Новая Заимка пов.;09:56;17:58
15;с.Падун пов.;10:16;18:16
16;г.Заводоуковск АВ;09:00;10:40;16:40;18:40
17;г.Ялуторовск пов.;10:58;18:58
18;р.п.Богандинский пов.;11:31;19:31
19;р.п.Боровский пов.;11:49;19:49
20;г.Тюмень АВ;07:10;14:50
