1;с.Вагай АС;11:25;11:30
2;д.Ульяновка пов.;11:33
3;д.Старый Погост пов.;11:37
4;д.Елань пов.;11:41
5;д.Накуларова пов.;11:45
6;с.Куларово пов.;11:48
7;д.Шевелева пов.;11:52
8;д.Киселева пов.;12:00
9;д.Симонова пов.;12:04
10;д.Томилова пов.;12:08
11;с.Санниково;10:31;12:14
12;д.Маслова пов.;12:28
13;д.Пушнятская пов.;12:31
14;д.Иртышатские Юрты пов.;12:40
15;д.Сабанаки пов.;12:43
16;с.Ворогушино пов.;12:46
17;р.п.Сумкино пов.;12:48
18;г.Тобольск АВ;09:30;14:20
19;с.Абалак пов. (Развилка);14:36
20;п.Сибиряк пов.;14:43
21;д. Преображенка (ул.Северная);14:51
22;с.Преображенка (ул.Трактовая);14:52
23;с.Абалак пов.;14:57
24;д.Загваздина;15:05
25;д.Мостовая;15:21
26;д.Полуянова пов.;15:25
27;д.Байгара;15:29
28;д.Кобякская;15:36
29;д.Яркова;15:40
30;с.Второвагайское;15:44
31;с.Бегишевское;15:48
32;с.Бегишево;15:59
33;п.Инжура;16:09
34;д.Баишевская;16:13
35;д. Поварнина пов.;16:19
36;с.Фатеево;06:30;16:28
