1;г.Тобольск АВ;09:50;17:50
2;д.Маслова пов.;10:28
3;с.Санниково пов.;10:42
4;с.Вагай АС;11:35;16:30
5;с.Черное пов.;12:17
6;с.Черное "Медцентр";12:18
7;с.Сычево пов.;12:30
8;д.Индери пов.;12:39
9;с.Бегитино пов.;12:52
10;д.Истяцкая пов.;13:04
11;п.Комсомольский пов.;13:11
12;п.Новопетрово пов. (НПС);13:14
13;д.Новые Юрты пов.;13:19
14;с.Новопетрово;13:24
15;д.Уткарма пов.;13:30
16;д.Северная пов.;13:34
17;д.Новоуфимская пов.;13:41
18;с.Малиновка пов.;13:43
19;д.Новоаптула пов.;13:53
20;с.Русаково пов.;14:02
21;с.Сорочкино пов.;14:03
22;с.Слободчики пов.;14:13
23;с.Аромашево АС;13:15;14:55
24;д.Юрминка пов.;15:07
25;д.Вагина пов.;15:09
26;с.Бескозобово пов.;15:15
27;д.Русакова пов.;15:19
28;с.Малышенка пов.;15:24
29;д.Кармацкая пов.;15:29
30;с.Королево пов.;15:36
31;р.п.Голышманово АС;11:40;16:10
32;с.Гладилово пов.;16:29
33;д.Черемшанка пов.;16:41
34;с.Карасуль пов.;16:56
35;п.Октябрьский пов.;17:01
36;д.Крутые озерки пов.;17:03
37;с.Разъезд №36 пов. (Казарма);17:11
38;с.Тоболово пов.;17:15
39;г.Ишим АВ;09:50;17:50
