1;с.Упорово АС;05:30;16:58
2;с.Бызово;05:38
3;д.Тютрина пов.;05:49
4;с.Суерка пов.;05:52
5;д.Коклягина пов.;06:04
6;д.Лыково пов.;06:09
7;с.Липиха;06:23;15:58
8;с.Ингалинское;06:41;15:40
9;д.Нифаки;06:49
10;с.Верхний Ингал пов.;06:52
11;д.Онуфриево пов.;06:56
12;с.Минино;07:03
13;д.Лога пов.;07:07
14;с.Красногорское пов.;07:13
15;д.Ботники пов.;07:20
16;д.Малыши пов.;07:23
17;с.Солобоево пов.;07:28
18;с.Исетское АС;07:50;14:40
19;п.Ишимский пов.;08:03
20;п.Зерновой пов.;08:09
21;с.Шорохово пов.;08:17
22;с.Леваши пов.;08:40
23;с.Червишево;08:55
24;д.Патрушева пов.;09:15
25;г.Тюмень АВ;09:27;13:00
