1;с.Вагай АС;08:30;09:20;10:05;15:30;16:50;18:00
2;д.Ульяновка пов.;08:33;09:26;10:08;15:34;16:56;18:05
3;д.Старый Погост пов.;08:37;09:28;10:12;15:38;16:58;18:10
4;д.Елань пов.;08:42;09:34;10:17;15:41;17:04;18:13
5;д.Накуларова пов.;08:45;09:37;10:20;15:45;17:05;18:18
6;с.Куларово пов.;08:48;09:38;10:23;15:48;17:07;18:22
7;д.Шевелева пов.;08:52;09:41;10:28;15:52;17:11;18:25
8;д.Киселева пов.;09:01;09:49;10:37;16:00;17:19;18:34
9;д.Симонова пов.;09:03;09:52;10:40;16:02;17:22;18:36
10;д.Томилова пов.;09:06;09:56;10:43;16:05;17:26;18:39
11;с.Санниково пов.;09:10;10:00;10:47;16:10;17:30;18:44
12;д.Маслова пов.;09:23;10:13;11:01;16:23;17:41;18:59
13;д.Пушнятская пов.;09:25;10:14;11:02;16:25;17:42;19:00
14;д.Иртышатские Юрты пов.;09:34;10:23;11:12;16:33;17:51;19:08
15;д.Сабанаки пов.;09:37;10:26;11:15;16:37;17:54;19:12
16;с.Ворогушино пов.;09:39;10:28;11:16;16:39;17:56;19:13
17;р.п.Сумкино пов.;09:40;10:30;11:20;16:40;17:58;19:15
18;г.Тобольск АВ;07:35;13:10;14:10;15:05;18:10;19:55
