1;з-д Медоборудования;07:40;09:30;11:54;14:09;17:00
2;ул. Воровского;07:41;09:32;11:56;14:11;17:02
3;з-д Электрон;07:43;09:34;11:58;14:13;17:04
4;Рабочий поселок;07:45;09:37;12:01;14:16;17:07
5;Ялуторовский тракт (по требованию);07:48;09:41;12:05;14:20;17:11
6;ТЦ Лента;07:49;09:43;12:07;14:22;17:13
7;Гаражи;07:53;09:47;12:11;14:26;17:17
8;п. Боровский;08:01;09:56;12:20;14:35;17:26
9;с/о Мичуринец;08:18;10:14;12:38;14:53;17:44
10;Дачи (с/о Мичуринец 2);08:20;10:16;12:40;14:55;17:46
11;с/о Солнечное;08:23;10:19;12:43;14:58;17:49
12;с/о Приозерное;08:24;10:21;12:45;15:00;17:51
13;с/о Искра 2;08:26;10:23;12:47;15:02;17:53
14;с/о Искра 2;06:45;08:30;10:39;13:00;15:13;18:00
